Group,OnsetDate,Month,SSH_pre_z,D26_pre_z,T100_pre_z,T100_excess_pre,PrecursorIndex
True onset,1996-03-09,3,-0.430629139358935,1.65562729825426,1.15536548389995,-0.0631387892032321,0.612499079447662
True onset,1996-04-02,4,-0.0895635139931,1.29294213732287,1.22165296132409,-0.0473006169806773,0.601689311664885
True onset,2004-01-14,1,0.394624230890619,1.16515459643312,0.936909563822269,-0.0979512460359221,0.779889413661867
True onset,2006-11-04,11,0.999180909777301,0.961386785413154,1.26570043151454,-0.119271600141401,0.980283847595227
True onset,2006-12-18,12,1.0003577201388,1.44565252005671,1.29543757070443,0.0211611268055275,1.22300512009775
True onset,2007-06-17,6,1.63848816210128,1.12377257383872,0.831343579347147,-0.159600746070311,1.38113036797
True onset,2008-05-26,5,1.35302373738456,-0.293988305164087,0.88229609778051,-0.0524567393123306,0.529517716110238
True onset,2011-08-15,8,1.76262778472252,1.61956634538462,1.29855590790148,-0.0343936399301352,1.69109706505357
True onset,2011-09-22,9,1.10249226262863,2.13682799347922,1.35446490540608,0.0602388919068197,1.61966012805392
True onset,2011-11-22,11,1.31055494513756,1.99030430018637,1.46379633091734,-0.0281873406642724,1.65042962266197
True onset,2012-02-14,2,1.61894636592788,1.46349895083179,1.11492081254549,-0.0122730281980242,1.54122265837983
True onset,2012-02-28,2,1.76803203737419,2.0230565515502,1.43252210353927,0.0898579897960669,1.8955442944622
True onset,2012-04-10,4,0.641645707471233,0.082166101282525,0.956505607690414,-0.19694471461797,0.361905904376879
True onset,2012-07-06,7,1.22538702945915,0.619885585702276,1.13864390107775,-0.00888954368937682,0.922636307580713
True onset,2012-11-23,11,1.8568631237362,1.34266449697581,1.69285663400491,0.0974733673777475,1.59976381035601
True onset,2013-01-31,1,0.811882362396949,1.18092107110696,1.1340450275346,0.0146740569360581,0.996401716751952
True onset,2013-03-06,3,0.849315548880753,2.09567368947513,1.20216326178627,-0.0493371696984344,1.47249461917794
True onset,2013-06-16,6,0.83370039694267,0.770496927410558,0.811856028223294,-0.154993949590946,0.802098662176614
True onset,2014-03-11,3,0.898731796746208,2.0224871734886,1.11555530305801,-0.0751191677513983,1.4606094851174
True onset,2014-09-28,9,2.22600133576039,0.98386088733317,1.23575580641927,-0.00909481092201716,1.60493111154678
True onset,2015-04-01,4,1.73502902371101,-0.105272950465593,1.0654476534308,-0.12723045192782,0.814878036622709
True onset,2015-06-10,6,2.0640609804404,0.78165902863993,1.20643245263681,0.0843918040613239,1.42286000454016
True onset,2016-01-11,1,2.50800747842897,0.424330823409418,1.07943267901502,-0.0215705992935632,1.46616915091919
True onset,2016-06-30,6,2.35773298713957,1.31742048097795,0.990638324370648,-0.141790201208744,1.83757673405876
True onset,2016-09-26,9,1.67085754002704,1.12074371937251,1.24234849175103,-0.00082373441195287,1.39580062969978
True onset,2016-10-07,10,1.34978706706612,1.00825428944335,1.37185344438175,-0.00363679756332225,1.17902067825473
True onset,2017-07-16,7,1.91161375305243,0.94217530152059,0.954896110838615,-0.0663299782911746,1.42689452728651
True onset,2017-08-05,8,1.49449538295029,0.991229680178197,1.208536921113,0.0139404496653924,1.24286253156424
True onset,2018-09-20,9,1.26532834086183,0.869298577732439,0.954628582646013,-0.1563447816784,1.06731345929713
True onset,2018-09-29,9,1.37514739445595,1.30895597643999,1.32248511272463,0.0327997139490041,1.34205168544797
True onset,2019-07-10,7,2.00373131782336,0.617173772251621,0.901084476756506,-0.105238963367726,1.31045254503749
True onset,2020-06-14,6,2.6078457294552,1.33831411831115,0.806411209135635,-0.131702474721715,1.97307992388318
True onset,2021-03-14,3,2.90582075644897,-1.42887943228658,0.924429733237933,-0.180047609696055,0.738470662081198
True onset,2021-07-11,7,3.25767173996817,0.934797433022981,1.15330401194848,0.0358616491984154,2.09623458649558
True onset,2021-07-23,7,2.37387818384984,0.782696871146321,1.20422805344433,0.0499493342983854,1.57828752749808
True onset,2021-10-26,10,2.30606714545261,1.43457391496376,1.74485732487679,0.23489737550928,1.87032053020818
True onset,2022-01-05,1,3.15063027514024,0.0240540721437119,0.693206398130979,-0.22594588433306,1.58734217364197
True onset,2022-02-01,2,2.25667624524838,0.763870587542409,1.03930245541625,-0.0387374622977585,1.51027341639539
True onset,2022-02-22,2,2.53714508059691,1.20501888037358,1.26650366582901,0.0392377738179324,1.87108198048525
True onset,2022-06-22,6,2.7382436273081,0.553115233581494,0.921257821567594,-0.189072266412007,1.6456794304448
