Comparison,Predictor,PredictorLabel,N,N_true,N_control,AUC,AUC_CI_low,AUC_CI_high,P_perm_AUC_gt_0p5
True vs warm near-miss,DUACS_SLA_pre_z,DUACS SLA,109,47,62,0.67433081674674,0.573539170777543,0.781322768226632,0.001998001998002
True vs warm near-miss,T100_pre_z,T100 persistence,109,47,62,0.631606039807824,0.525577735106424,0.735309344315696,0.012987012987013
True vs warm near-miss,D26_pre_z,D26,109,47,62,0.655799588194921,0.554252709237883,0.77195856873823,0.001998001998002
True vs warm near-miss,GLORYS_SSH_pre_z,GLORYS SSH,109,47,62,0.670555936856555,0.571997251189372,0.773391312229297,0.003996003996004
True vs warm near-miss,SLA_T100_score,DUACS SLA + T100,109,47,62,0.702985586822237,0.595280006035155,0.805669765996296,0.000999000999000999
True vs warm near-miss,SLA_D26_T100_score,DUACS SLA + D26 + T100,109,47,62,0.723575840768703,0.627501725327812,0.826915891304169,0.000999000999000999
True vs random non-event,DUACS_SLA_pre_z,DUACS SLA,94,47,47,0.867587143503848,0.791600700116782,0.938484977324263,0.000999000999000999
True vs random non-event,T100_pre_z,T100 persistence,94,47,47,0.952240832956089,0.908127538222647,0.992117620751342,0.000999000999000999
True vs random non-event,D26_pre_z,D26,94,47,47,0.860344047080127,0.778542996656027,0.931978305888473,0.000999000999000999
True vs random non-event,GLORYS_SSH_pre_z,GLORYS SSH,94,47,47,0.877320054323223,0.802807609057609,0.947743719143176,0.000999000999000999
True vs random non-event,SLA_T100_score,DUACS SLA + T100,94,47,47,0.927342688999547,0.869697569858842,0.979247602782007,0.000999000999000999
True vs random non-event,SLA_D26_T100_score,DUACS SLA + D26 + T100,94,47,47,0.943186962426437,0.892240014403861,0.984941123188406,0.000999000999000999
True vs all controls,DUACS_SLA_pre_z,DUACS SLA,156,47,109,0.753562365801288,0.68153987320654,0.835964108563634,0.000999000999000999
True vs all controls,T100_pre_z,T100 persistence,156,47,109,0.766250243997658,0.695054694026733,0.834962402700456,0.000999000999000999
True vs all controls,D26_pre_z,D26,156,47,109,0.74077688854187,0.651853621540311,0.822537207075641,0.000999000999000999
True vs all controls,GLORYS_SSH_pre_z,GLORYS SSH,156,47,109,0.755416747999219,0.672610084119663,0.834031181917211,0.000999000999000999
True vs all controls,SLA_T100_score,DUACS SLA + T100,156,47,109,0.795334764786258,0.727908234589269,0.863154872520812,0.000999000999000999
True vs all controls,SLA_D26_T100_score,DUACS SLA + D26 + T100,156,47,109,0.813878586765567,0.748562649806009,0.886081421526587,0.000999000999000999
